jobtitle,experience_level,skill_count,employability_score,readiness_level
"Fashion Consultant,store Manager-female Candidate-walkin 13&14 Oct",Fresher,1,1,Low
System Administrator (fresher) - Walk-in,Fresher,1,1,Low
Product Sourcing Leader,5+ Years,1,4,Medium
"Network L3,4-10year , Bangalore and Gurgaon",0-2 Years,1,2,Low
Recruitment Executive,0-2 Years,1,2,Low
Technical Counsellor,Fresher,1,1,Low
Sr Executive/ Executive - Hr(event Management Only)- Gurgoan/ Bangalor,0-2 Years,1,2,Low
Looking for Java Developer with Japanese Language Experience.,3-5 Years,1,3,Medium
Oracle Corporate Trainer,3-5 Years,1,3,Medium
Oracle Finance Technical,3-5 Years,1,3,Medium
Placement Cordinator,Fresher,1,1,Low
Senior JAVA Developer Int:mumbai Job:bang,Fresher,1,1,Low
IFS ERP Consultant - Manufacturing and Demand Supply Chain Module,3-5 Years,1,3,Medium
Lead Product Engineer,3-5 Years,1,3,Medium
"Sr. Marketing Executive - Jobs, Bangalore / Bengaluru",0-2 Years,1,2,Low
Investment Counselor - Banking,0-2 Years,1,2,Low
Part Time Teachers - Bangalore /whitefield/gunjur/hrbr Layout/banswadi,Fresher,1,1,Low
Duty Manager,3-5 Years,1,3,Medium
HR Executive,0-2 Years,1,2,Low
"JP Morg@n,@mex,tc$, Hiring for Banking Process Uk Shift Salary 5L",Fresher,1,1,Low
Senior Recruiter - BFSI Hiring - Non IT,Fresher,1,1,Low
Human Resource Executive - HR Operations,0-2 Years,1,2,Low
Reliability Engineer,0-2 Years,1,2,Low
Chartered Accountant 0 to 2 Years for MNC Bpo/kpo,Fresher,1,1,Low
Lead Manager - Materials,5+ Years,1,4,Medium
Teradata DBA for Bangalore / Trivandrum,3-5 Years,1,3,Medium
Engineering Jobs for Freshers in IT Sector,Fresher,1,1,Low
Centre Manager / TL / Sales Manager - Any Industry ( Sales Background),Fresher,1,1,Low
Asset DESK Manager_leading Bank_bangalore,0-2 Years,1,2,Low
Urgent Openings for Big Data / Hadoop Developer,Fresher,1,1,Low
VP Operations ( B2G) Business to Government,Fresher,1,1,Low
Product Support Specialist - Logistimo,3-5 Years,1,3,Medium
Optical Testing Engineer,0-2 Years,1,2,Low
Senior Software Engineer,3-5 Years,1,3,Medium
Manager - Sales & Marketing - Solution Based Technology Company,3-5 Years,1,3,Medium
HCL Technologies Hiring for Linux Device Driver Developer,Fresher,1,1,Low
IT Recruiter/counsulatants (work From Home)- Only Ladies,3-5 Years,1,3,Medium
Hiring for IT Recruiters & Non IT Recruiters,0-2 Years,1,2,Low
IP L2/l3(cgnat /nat/ Asr9k) - Bangalore,3-5 Years,1,3,Medium
Senior Software Engineer / Technical Lead - Java,0-2 Years,1,2,Low
Sales Executive / Manager,0-2 Years,1,2,Low
Available Part time / full time work at Top M.n.c Company-9502349603,Fresher,1,1,Low
Medical Coding - Job Bookings Open - Whatsapp@ 09789004777 - Yogam BPO,Fresher,1,1,Low
Sales Manager - Bangalore,0-2 Years,1,2,Low
Area Service Managers Required For Bangalore,Fresher,1,1,Low
"W*S, Mp*a&i&, Se**o, Jp*c, A*M, M*ha*i* BPOs Hiring! Sal Upto 35k",Fresher,1,1,Low
Manual Tester\test Engineer,Fresher,1,1,Low
Litigation Paralegal,0-2 Years,1,2,Low
Immediate Openings!!! Attractive Salary Packages!!! Call- Dimple,0-2 Years,1,2,Low
Oracle DBA,Fresher,1,1,Low
Enterprise Application Advisor,Fresher,1,1,Low
Sr. Technical Lead with a Product Based Company,Fresher,1,1,Low
Medical Coding - Are You Ready? - Whatsapp@ 09789004777 - Yogam BPO,Fresher,1,1,Low
"MCSA , MCSE & Exchange Sever Trainer - Jayanagar",0-2 Years,1,2,Low
"Customer Support Executive , Call Center BPO , Dayshift , Day Shift",Fresher,1,1,Low
QA QC Engineer-salarpuria Sattva,0-2 Years,1,2,Low
Urgent Requirement | SEO Executive I Bangalore,0-2 Years,1,2,Low
Oracle Apex Developer,3-5 Years,1,3,Medium
Analytics Engineer Openings Based out in Bangalore,3-5 Years,1,3,Medium
Creative Art Director : Social Media,3-5 Years,1,3,Medium
BYOD Mobility,Fresher,1,1,Low
"Dietician - Bangalore , Gurgaon",0-2 Years,1,2,Low
Sr Associate,0-2 Years,1,2,Low
Sr.java Developer(server side JAVA Programming),3-5 Years,1,3,Medium
Ground Staff Walk in Interviews,Fresher,1,1,Low
Sales Manager,3-5 Years,1,3,Medium
Associate Software Engineer (Dot net & UI),Fresher,1,1,Low
Infrastructure Architect,Fresher,1,1,Low
Presales Consultant,Fresher,1,1,Low
Opening for UI Developer - Bangalore/ Chennai,3-5 Years,1,3,Medium
Associate Product Manager - Digital Product,3-5 Years,1,3,Medium
Associate Software Engineer,0-2 Years,1,2,Low
Privy Relationship Manager ( Banking Wealth),0-2 Years,1,2,Low
IT Jobs for Freshers Anywhere in India,Fresher,1,1,Low
Duty Doctor & ICU Doctor,Fresher,1,1,Low
Mainframe PM,0-2 Years,1,2,Low
Senior Position in Banca/ Agency Channel for Top Insurance Company,3-5 Years,1,3,Medium
Bench Sales Recruiter,0-2 Years,1,2,Low
Software Engineer,3-5 Years,1,3,Medium
Hiring 4 UK Shift/backend Operations/non Voice/sal 3.2l/cal 7829336017,Fresher,1,1,Low
Content Developer (work from Home),Fresher,1,1,Low
UI Designer/ Developer,3-5 Years,1,3,Medium
Scrum Master,Fresher,1,1,Low
"Banking Customer Support, Banking Collections, Sal up to 3.5+inc",Fresher,1,1,Low
Contracts Manager,3-5 Years,1,3,Medium
Enterprise Application Advisor,Fresher,1,1,Low
Senior J2EE Developer,5+ Years,1,4,Medium
Assistant Manager/ Deputy Manager Accounts Payable,0-2 Years,1,2,Low
Flash Developer,3-5 Years,1,3,Medium
Software Development Engineer,3-5 Years,1,3,Medium
Sales HEAD ( Ayurveda),Fresher,1,1,Low
HR Operation Lead,Fresher,1,1,Low
Urgent Requirements of Steward,0-2 Years,1,2,Low
Corporate Interface Manager,3-5 Years,1,3,Medium
DPI Sr. System Analyst Position with a Telecom Product Based org.,3-5 Years,1,3,Medium
Maintenance Manager,Fresher,1,1,Low
Narrative Designer,0-2 Years,1,2,Low
US IT Recruiter,3-5 Years,1,3,Medium
Business Development Consultant - WFH,3-5 Years,1,3,Medium
Opening for .net Developer with 3to6 Years Experience Bangalore,3-5 Years,1,3,Medium
Manager - Retail ( Product Application Group ),3-5 Years,1,3,Medium
Asst Manager - Corporate Sales,3-5 Years,1,3,Medium
Legal Advisor,Fresher,1,1,Low
PPC Expert,Fresher,1,1,Low
Hiring for TPF Developer for Bangalore,3-5 Years,1,3,Medium
SE / SSE / LEAD - Mainframe - 3 to 10 ysr - Bangalore,3-5 Years,1,3,Medium
Analyst / Associate Consultant,3-5 Years,1,3,Medium
SAP SD Consultant,Fresher,1,1,Low
Tivoli Monitoring -ITM,3-5 Years,1,3,Medium
Free Recruitment for Staff Nurse job Vacancy in South India,Fresher,1,1,Low
"Asst. Manager â€“ Marketing - Jobs, Bangalore / Bengaluru",3-5 Years,1,3,Medium
Assistant Manager - Talent Acquisition - IT,Fresher,1,1,Low
Wealth Planning Officer in India,Fresher,1,1,Low
Manager/ Senior Manager- Business Development/sales,Fresher,1,1,Low
Channel Sales (mumbai / Bengaluru / PUNE / Ahmedabad),Fresher,1,1,Low
Personal Assistant To Director,3-5 Years,1,3,Medium
Java Server Professionals,3-5 Years,1,3,Medium
"Programme Co-ordinator - Jobs, Bangalore / Bengaluru",0-2 Years,1,2,Low
Assistant Acquisition Manager-9986977238,0-2 Years,1,2,Low
Java Developers - Happiest Minds Technology - Banaglore,3-5 Years,1,3,Medium
Pega Certified Architect,Fresher,1,1,Low
"Area Credit Manager (sme/business/corporate Loans) - Ca/mba, Bangalore",Fresher,1,1,Low
Academy Chairman - NGO,Fresher,1,1,Low
Job Opportunity for Teradata Developer with Reputed Mnc-bangalore,3-5 Years,1,3,Medium
Sr FPGA Engineer - Bangalore,0-2 Years,1,2,Low
PCI Verification Engineer for Bangalore,3-5 Years,1,3,Medium
Editor - Scripting,Fresher,1,1,Low
Brand Manager- Luxury Retail,0-2 Years,1,2,Low
IT and Non IT Recruiters.,3-5 Years,1,3,Medium
Looking for US Offshore Team lead - Bangalore,3-5 Years,1,3,Medium
EQA Labs Urgently need Java Consultants for California USA Location.,Fresher,1,1,Low
RPO - Consultant,0-2 Years,1,2,Low
Accounts & Finance Executive/store Accountant in a Retail Industry,3-5 Years,1,3,Medium
"IT Recruiter,bangalore",3-5 Years,1,3,Medium
Salesforce Developer - Apex/visual Force,3-5 Years,1,3,Medium
Executive - Channel Sales,0-2 Years,1,2,Low
Required Store Manager for Jayanagar & Phoenix Locations in Bangalore,Fresher,1,1,Low
"Marketing Manager - Jobs, Bangalore / Bengaluru",3-5 Years,1,3,Medium
Urgent Opening -client Service Executive/ SPOC -recruitment @ Convate,0-2 Years,1,2,Low
Head Merchandiser | Confidential,0-2 Years,1,2,Low
Talent Acquisition Specialist / Recruiter(internal Hiring),0-2 Years,1,2,Low
UI Developer,3-5 Years,1,3,Medium
Sales Executive for Tiles,Fresher,1,1,Low
Java - SSE / Technical Lead,3-5 Years,1,3,Medium
"Qlikview Developer / Lead--with a CMMi Level 5 Company, Blore",3-5 Years,1,3,Medium
Immediate Job Opening for Fresher,Fresher,1,1,Low
Assistant Manager Finance & Accounts - Manufacturing Job in Bangalore,3-5 Years,1,3,Medium
Recruitment Head / Talent Acquisition Head- Senior Manager,0-2 Years,1,2,Low
Soft Skill Trainer- Bangalore,0-2 Years,1,2,Low
Currently we have an Immediate Requirement for SAP SD Consultant,Fresher,1,1,Low
Human Resource Professionals in Immigration /payroll/business Partner,3-5 Years,1,3,Medium
"Senior Engineer, Quality (rotor Blade Quality Inspection)",Fresher,1,1,Low
"Centurylink is Hiring MS SQL Server,ms-sql 4-10yrs -bangalore Location",3-5 Years,1,3,Medium
Manager - Service Sales,5+ Years,1,4,Medium
Java Server Devloper,3-5 Years,1,3,Medium
Assistant Manager / Manager - Warehousing,3-5 Years,1,3,Medium
Openings For It_recruiter,Fresher,1,1,Low
Business Process Manager,0-2 Years,1,2,Low
"Hiring for ""multiple Sales Positions"" for a Leading NBFC at Bangalore.",0-2 Years,1,2,Low
TEAM LEAD - Technical Support,0-2 Years,1,2,Low
Business Development Manager,3-5 Years,1,3,Medium
Team Lead - Sales Operations (international BPO),3-5 Years,1,3,Medium
Opening for Optical Testing for Telecom Company,0-2 Years,1,2,Low
"Executive,associate,customer Care,call Center,bpo Sal up to 5.5 L Call",0-2 Years,1,2,Low
Immediate Opening for SAP B1 Functional Consultant,0-2 Years,1,2,Low
On the Internet Part-time Work for Almost all and Everybody,Fresher,1,1,Low
Networking Sales Manager,Fresher,1,1,Low
Prodapt Hiring - Sigma Professionals - Bangalore/chennai,0-2 Years,1,2,Low
Customer Support Inbound Voice Process BPO Job Vacancy Koramangala,Fresher,1,1,Low
Project Manager - Customer Experience/ Process Improvement - Ecommerce,0-2 Years,1,2,Low
Job - Front Office cum Business Assistant - 6 Months Contract,0-2 Years,1,2,Low
Hiring for IT Recruiters,0-2 Years,1,2,Low
"Business Development Executive, Sales",0-2 Years,1,2,Low
"International BPO, Domestic BPO, Contact Gayathri",Fresher,1,1,Low
Sales Engineer-[ Dip. Engrs] Industrial Sales-mnc,0-2 Years,1,2,Low
"Hot Opening for ""java with Angular js""@ Bangalore",3-5 Years,1,3,Medium
Urgent Openings for US IT Recruiter at CDI Corporation Bangalore,0-2 Years,1,2,Low
Service Engineers (aeroengine),0-2 Years,1,2,Low
Oracle ADF,3-5 Years,1,3,Medium
"Technical Executive & Manager-r&d: US Protective Coatings Mnc,banglore",3-5 Years,1,3,Medium
After Market Sales Executives/auto/bearing/cochin/chennai/bangalore,3-5 Years,1,3,Medium
Looking for Big Data Testing,3-5 Years,1,3,Medium
Assistant Manager - Sales & Marketing - Solution Based Technology Co.,3-5 Years,1,3,Medium
Sr.java Developer,3-5 Years,1,3,Medium
Civil Engineer - Freshers,Fresher,1,1,Low
Senior Manager / AGM - Route Scouting ( Process R&D ),Fresher,1,1,Low
Immediate Walk-ins for Freshers in Telecom,Fresher,1,1,Low
"Recruiters ( IT and Telecom, Analytics Domain)",3-5 Years,1,3,Medium
Supply Chain Executive,Fresher,1,1,Low
R2R Intercompany Reconciliation/jv call 9066794652,3-5 Years,1,3,Medium
Hiring for Top MNC E-commerce / KPO / BPO / ITES Firm. Call 9916196088,Fresher,1,1,Low
Senior Software Engineer-java,Fresher,1,1,Low
Branch Manager - Banking,0-2 Years,1,2,Low
"Electrician, Electrical Techncian, Technician",0-2 Years,1,2,Low
JAVA Dvlp,0-2 Years,1,2,Low
Process jobs in Leading Company for International Voice Process,Fresher,1,1,Low
Head - Corporate Quality,Fresher,1,1,Low
Lead Engineer,0-2 Years,1,2,Low
Immediate Openings for BPO Recruiter,0-2 Years,1,2,Low
JL6A Business Transformation,Fresher,1,1,Low
Job Opening for Ad Operations (programmatic Buying and Team Lead),3-5 Years,1,3,Medium
Lead Data Engineer - Commercial Analytics,0-2 Years,1,2,Low
Developer - Contractual (PAN India),3-5 Years,1,3,Medium
Devops Engineer,3-5 Years,1,3,Medium
IT Recruiter/technical Recruiter,0-2 Years,1,2,Low
BYOD Mobility Professional,Fresher,1,1,Low
Job Openings for Platform Developer for our Client,Fresher,1,1,Low
Test Automation - Optical Testing,3-5 Years,1,3,Medium
Information Management - Country Business Partner,Fresher,1,1,Low
Wellness Consultant,Fresher,1,1,Low
Sr. Manager - HNI Equity Advisory,0-2 Years,1,2,Low
Microsoft Axapta Functional/technical/techno Functional Consultant,0-2 Years,1,2,Low
Windows System Administrator - SaaS Environment,Fresher,1,1,Low
General Manager - Preschool Operations,0-2 Years,1,2,Low
Hiring for Risk Analyst / Client Servicing in Amazon. Call 9986200049.,Fresher,1,1,Low
Technical Support / Tech/ BCA/ BBA/ B.com/b.e/ BA/ MCA/ B.tech Fresher,Fresher,1,1,Low
Information Security Engineer - Contract to Hire - Bangalore,Fresher,1,1,Low
Sr. Team Leader - Private Wealth,0-2 Years,1,2,Low
"Job Opening for HCL Technologies C++,linux/unix Bangalore(15-10-2016)",3-5 Years,1,3,Medium
Manager Business Development,0-2 Years,1,2,Low
AREA Manager,3-5 Years,1,3,Medium
Senior Sales Executive,0-2 Years,1,2,Low
Functional with Selenium Bangalore Experience Level: 4-6 Years,3-5 Years,1,3,Medium
Senior Student Counsellor,5+ Years,1,4,Medium
Openings for SOW Coordinator at Bangalore.,0-2 Years,1,2,Low
Manager @ Working Capital ( A Leading Bank),0-2 Years,1,2,Low
Urgent Opening for SAS Analyst / SAS Programmer - Equifax,0-2 Years,1,2,Low
Candidates who Wants to work on Contract Basis/from Home/flexi Hours,Fresher,1,1,Low
Oracle Fusion Functional Modules,0-2 Years,1,2,Low
Looking For GM/ Operation Manager,3-5 Years,1,3,Medium
Fresh - Field Service Engineers-[dip. Engineers] Industrial Equipment-,Fresher,1,1,Low
Noc Engineer/noc Manager with wifi Experience with a MNC Company,3-5 Years,1,3,Medium
Vendor Operations Associate -cloudtail India Pvt Ltd(amazon JV,0-2 Years,1,2,Low
Reservation & Ticketing Agent,Fresher,1,1,Low
"Wealth Planning Officer (wpo) - Hyderabad, Banglore, & Chennai",Fresher,1,1,Low
"Admin, HR & Finance Controller",Fresher,1,1,Low
Head Marketing - Gynaecology -,Fresher,1,1,Low
Mechanical Engineer,Fresher,1,1,Low
Immediate Openings for Bench Sales Recruiter,0-2 Years,1,2,Low
Branch Manager,0-2 Years,1,2,Low
L2/l3 Development Lead-cisco Catalyst,Fresher,1,1,Low
HVAC Technicians,Fresher,1,1,Low
Hiring for ATG E-commerce Developer(c2h),0-2 Years,1,2,Low
Solutions Head - Retail,0-2 Years,1,2,Low
Core Java Developer,0-2 Years,1,2,Low
Head Engineering - Pharma Industry | Hyderabad,Fresher,1,1,Low
Webmethods Openings,Fresher,1,1,Low
Goqii Lifestyle Coach -,0-2 Years,1,2,Low
Corporate Sales,0-2 Years,1,2,Low
Tool Room Head,0-2 Years,1,2,Low
"Bde/senior Bde-us-with a CMMi Level 5 Company,b",0-2 Years,1,2,Low
Solution BI Architect- Joinee,Fresher,1,1,Low
"Hr-assistant-/hr Officer,msw-hr Leading Manufacturing Firm,9686288924",Fresher,1,1,Low
SAP WM Functional Consultant,0-2 Years,1,2,Low
"STEP OUT YOUR Dream IN International CALL Center""call Linda 9538878905",Fresher,1,1,Low
Urgent Opening For Ricew,3-5 Years,1,3,Medium
Ibm/dell/infy Hiring Technical Analyst/day&uk Shift/cal 8884777951,Fresher,1,1,Low
FP NA (r2r)/team Leader/am-bangalore-upto 11 L,3-5 Years,1,3,Medium
SAP Basis Consultant - Srm/crm/scm Modules,3-5 Years,1,3,Medium
Customer Support Executive (cse),Fresher,1,1,Low
Director of Sales / Associate Director(five star Hotel),Fresher,1,1,Low
CRM Developer,0-2 Years,1,2,Low
Executive - Business Development,0-2 Years,1,2,Low
SOW Coordinator- Scalene Works,0-2 Years,1,2,Low
GM - International Sales & Marketing - Russia / CIS | Pharma,Fresher,1,1,Low
Customer Support- Joiners,0-2 Years,1,2,Low
Ruby on Rails Developer,3-5 Years,1,3,Medium
Career Opportunity with Accenture-recruitment,0-2 Years,1,2,Low
ERP Technical Advisor,3-5 Years,1,3,Medium
"Content Writer - Jobs, Bangalore / Bengaluru",0-2 Years,1,2,Low
Junior Software Engineer,Fresher,1,1,Low
Urgent Openings for Salesforce Developer,Fresher,1,1,Low
Call Centre Executive,Fresher,1,1,Low
Sow Coordinator,0-2 Years,1,2,Low
Marketing Executive,0-2 Years,1,2,Low
Mechanical Engineer,Fresher,1,1,Low
Sourcing Specialist,0-2 Years,1,2,Low
Part time Add Posting - Copy Paste Work at your free Time-8105581378,Fresher,1,1,Low
Admin Assistant,3-5 Years,1,3,Medium
Oracle Siebel CRM -order Management and Product/price Configurator Spe,3-5 Years,1,3,Medium
Moodle Support Specialist (telecommute) (work from Home),0-2 Years,1,2,Low
Hiring for Non IT Recruiter,0-2 Years,1,2,Low
Regional Business Manager ( Main Division),Fresher,1,1,Low
Senior Technical Recruiter (US Staffing),3-5 Years,1,3,Medium
AX_ Technical,3-5 Years,1,3,Medium
"Hr-assistant-/hr Officer,msw-hr Leading Manufacturing Firm,9686288924",Fresher,1,1,Low
General Manager - Sales & Marketing | Pan India | Hospital Sales,0-2 Years,1,2,Low
Dell Hiring Server Support - Red Hat Certified Engineer,Fresher,1,1,Low
IOS Developer,Fresher,1,1,Low
Excelent- Branch Manager-- BM / BH- For a Reputed Bank- In- Bangalore,0-2 Years,1,2,Low
Immediate Requirement with our Client Subex-java Developer,0-2 Years,1,2,Low
"Filenet Developer,bangalore,india",3-5 Years,1,3,Medium
Inside Sales Specialist and lead Generation Specialist jobs,Fresher,1,1,Low
Senior Software Programmer,0-2 Years,1,2,Low
